rso_r_N,rso_v_N,inspector_r_N,inspector_v_N,r_DC_Hc,v_DC_Hc,inspector_sigma_BN,inspector_omega_BN_B,reward,dV_remaining
[-5903038.28675446   820460.1878722  -3585782.82747856],[ 2163.27339538 -5382.92620092 -4854.95940136],[-5903063.08851833   820657.38152334 -3585129.49831846],[ 2162.67756171 -5382.12757637 -4852.25309131],[-292.50893277 -565.47401097  247.01644103],[-1.41034426 -2.15405385  1.25405791],[ 0.17524404 -0.21143127  0.0490876 ],[0.12527348 0.07968488 0.21100725],0.031285750524636516,18.916927792504556
[-5881056.52982736   766583.41334803 -3634118.60266323],[ 2233.03244781 -5392.3220985  -4812.10133482],[-5881069.66575305   766789.91483223 -3633447.66813472],[ 2234.20378794 -5391.39313973 -4810.3418721 ],[-316.67734096 -576.57246274  245.45511605],[-2.43428377 -1.08373432 -0.15809351],[ 0.59490674 -0.14630617  0.63591374],[ 0.11944368 -0.09978854  0.04944389],0.0035600384815208663,16.916927792504556
[-5858378.56217605   712615.87942609 -3682022.9770051 ],[ 2302.51418852 -5401.07794171 -4768.68011803],[-5858386.06266866   712825.15757751 -3681335.48932949],[ 2303.08273932 -5400.80212517 -4767.0257417 ],[-336.15226046 -583.74029861  250.48318855],[-1.96105065 -0.69579612  0.5008139 ],[0.87637045 0.07177558 0.07806573],[-0.11692085 -0.09963759 -0.11436357],-0.025438475674674187,16.01812111611052
[-5835007.19740245   658563.99068673 -3729490.3456612 ],[ 2371.71052719 -5409.19293583 -4724.70109312],[-5835014.34048458   658770.63030271 -3728793.22708795],[ 2371.75145929 -5409.45861383 -4723.73883388],[-348.19250766 -584.04169017  257.64809614],[-1.21040311 -0.0172721   0.71444695],[0.26959048 0.11769061 0.04242155],[-0.11617183  0.05565743  0.05010429],-0.09780185766544285,14.99082578482997
[-5810945.32981157   604434.15927903 -3776515.15751545],[ 2440.61341367 -5416.66636185 -4680.16966322],[-5810970.53533705   604645.58756677 -3775807.35362359],[ 2438.81243497 -5416.1892877  -4679.10196457],[-344.81852129 -596.13019739  268.42608634],[ 0.31811453 -1.21270617  1.07569226],[ 0.36301833 -0.07793738  0.22179524],[ 0.11983094 -0.14343598  0.05194464],-0.08085304789954179,12.99082578482997
[-5786195.93400537   550232.80416389 -3823091.9157849 ],[ 2509.21483887 -5423.49757639 -4635.09129171],[-5786237.29968559   550464.8672251  -3822379.61693728],[ 2507.60408847 -5421.43592706 -4634.64267755],[-338.67609754 -615.31079393  263.86579928],[ 0.58733321 -1.92490901 -0.4581563 ],[-0.56055867  0.05455166  0.24233923],[ 0.13171601 -0.33239794 -0.08406275],-0.03924116562620516,11.277407199301448
[-5760762.06446785   495966.3503578  -3869215.17861862],[ 2577.5068356  -5429.68601171 -4589.47150147],[-5760825.60833408   496218.01341327 -3868481.95001688],[ 2575.29433413 -5427.72790665 -4587.37948815],[-337.22305647 -645.95809256  272.05707429],[ 0.10600695 -3.06643424  0.81695203],[ 0.6219353  -0.5560909   0.49314465],[-0.03739686 -0.33455642 -0.02856688],0.03986048755871282,9.519022359809597
[-5734646.8551416    441641.2281772  -3914879.55968898],[ 2645.48147949 -5435.23117555 -4543.31587417],[-5734721.50449147   441903.24736338 -3914132.18798716],[ 2644.3763562  -5434.19749252 -4541.90255367],[-342.37109724 -662.086112    277.87596535],[-0.53834245 -1.60739921  0.57963874],[-0.7256935   0.09148225  0.54390428],[-0.03412752 -0.12939471 -0.03395943],-0.06065617040541693,7.935404887994912
[-5707853.5189957    387263.87248357 -3960079.72877555],[ 2713.13088974 -5440.13265113 -4496.63004945],[-5707958.77595391   387539.50829442 -3959320.36150975],[ 2710.07558236 -5438.77293881 -4495.4315806 ],[-330.50683424 -686.31355213  288.84548211],[ 1.15413196 -2.43580652  1.0946242 ],[-0.50167849  0.37571891  0.54719504],[0.14018749 0.069752   0.07941441],0.021630753444218942,5.935404887994912
[-5680385.34758528   332840.72192939 -4004810.4123413 ],[ 2780.44723008 -5444.39009703 -4449.41972422],[-5680502.99555267   333136.74454173 -4004033.99607041],[ 2779.21366989 -5442.35342732 -4447.71596171],[-336.66715701 -711.95305827  289.94952175],[-0.6497886  -2.55743303  0.10801992],[ 0.28574982 -0.53523788  0.06099638],[0.13350903 0.26632337 0.08750201],0.00435066655875772,3.9354048879949124
[-5652245.71060261   278378.21820501 -4049066.39410118],[ 2847.42270951 -5448.00324707 -4401.69065184],[-5652363.34361709   278694.92552198 -4048274.02567201],[ 2847.42993034 -5445.93687141 -4400.09649961],[-352.85012459 -732.40246428  284.73180039],[-1.64659777 -2.02755786 -0.52416981],[-0.13493247  0.37651593  0.82255805],[0.13348671 0.20851243 0.20292066],0.014193762587968088,2.700854823055104
[-5623438.05541996   223882.80528663 -4092842.51558306],[ 2914.04958315 -5450.97191025 -4353.4486414 ],[-5623547.61311831   224230.9391407  -4092046.3203993 ],[ 2914.8630093  -5447.8314769  -4353.06687153],[-368.55188803 -750.24157549  261.59878535],[-1.59592053 -1.76706085 -2.31562481],[ 0.1752901  -0.31670687 -0.10891324],[0.13370892 0.20305116 0.20703668],0.049281967952528684,0.8954276512292101
[-5593965.90662425   169360.92868531 -4136133.67668085],[ 2980.32015308 -5453.29597057 -4304.69955689],[-5594064.62378342   169738.75283384 -4135333.06554521],[ 2981.41026716 -5450.32929776 -4304.25866511],[-387.29647282 -765.806735    238.77990286],[-1.89803078 -1.53635013 -2.28410078],[ 0.41826806 -0.0294496   0.55187762],[0.12729343 0.00617883 0.04307744],0.06584439412784672,0.5755983704839446
[-5563832.86554369   114819.03469736 -4178934.83619984],[ 3046.2267691  -5454.97538696 -4255.44931647],[-5563925.5345553    115224.50366436 -4178132.05522406],[ 3046.83778898 -5452.21338089 -4255.23284574],[-401.27432272 -780.26283193  218.21721982],[-1.42044356 -1.43060721 -2.05837758],[ 0.6634847  -0.08124048  0.29714056],[-0.11306772 -0.1972967  -0.05773144],-0.9639910391944028,0.0
[-2700404.96461977 -6492187.26528325   793449.05926454],[3627.93628935 -610.44175954 6517.3505225 ],[-2700273.14876548 -6492506.61472603   793129.53161277],[3628.8927346  -609.55427735 6518.24359529],[ 206.86608882 -185.73563943 -379.6921119 ],[-1.27554817  0.93678897  0.01274977],[-0.82757292 -0.41963202 -0.20336091],[-7.56415210e-05 -9.39052633e-05 -2.55066506e-05],-0.09462768463024437,48.45029959690754
[-2663974.18398728 -6497925.88084634   858576.52789175],[3658.15336459 -537.26589267 6508.01999904],[-2663839.6298576  -6498217.56324866   858266.13821368],[3658.4252335  -534.50042065 6508.93594501],[ 179.55784611 -180.93337278 -366.80687618],[-2.72248705  0.50901654  1.29064272],[-0.26905358 -0.26526154 -0.19014799],[ 0.2465379   0.19852407 -0.04424435],0.02601703249672626,46.45029959690754
[-2627243.23288675 -6502932.28742766   923606.99600004],[3687.96977411 -464.00131268 6497.95050451],[-2627120.09752404 -6503193.29266295   923300.60556286],[3686.82615626 -460.93459414 6498.35251898],[ 154.19642129 -187.17486615 -344.02061499],[-2.53993389 -0.59736826  2.28063771],[0.70302818 0.21459116 0.16359844],[ 0.25163317  0.19455788 -0.0187752 ],0.05527112511221941,44.91602777788257
[-2590216.1361767  -6507205.63841658   988533.07658931],[3717.38188407 -390.65612726 6487.14259466],[-2590099.11343531 -6507435.7983064    988228.03028114],[3716.76910747 -387.57234513 6487.27904862],[ 126.25619447 -192.6060242  -326.62430988],[-2.79740586 -0.51359699  1.74153781],[-0.06548921 -0.45482237 -0.20352248],[ 0.26816243  0.1918132  -0.20213566],0.0570646144251121,44.31756318791456
[-2552896.95486005 -6510745.16838565  1053347.38862619],[3746.38609952 -317.23846522 6475.59690713],[-2552797.83336558 -6510941.47965651  1053042.71558108],[3744.59471699 -313.85412031 6475.63622529],[  99.56658785 -204.31494959 -299.21688808],[-2.67945411 -1.14266205  2.7425176 ],[0.52061205 0.13528695 0.16058376],[ 0.04064737  0.18981645 -0.04208032],0.08662571544528735,43.09928288816599
[-2515289.78569311 -6513550.19329716  1118042.55786401],[3774.97886484 -243.75647557 6463.31416164],[-2515218.00762295 -6513714.51138863  1117722.27362213],[3772.24356242 -240.55746766 6461.75504339],[  75.18580501 -233.9428778  -272.67626737],[-2.46798529 -2.93692573  2.65569131],[-0.52312069 -0.48580601 -0.51795945],[ 0.02263674  0.19980554 -0.04539639],0.11051486134692458,41.23138698999738
[-2477398.76078945 -6515620.11070142  1182611.21766427],[3803.15666425 -170.21832675 6450.29516013],[-2477357.26982878 -6515764.51416873  1182276.41337018],[3800.12726483 -168.2270513  6448.84520808],[  62.53541122 -263.19535148 -247.96230729],[-1.29488507 -2.91179314  2.47289136],[ 0.2305861   0.06390681 -0.58387254],[ 0.00647721  0.19682118 -0.05150848],0.08791810694786255,39.984661814304154
[-2439228.04721908 -6516954.39992671  1247046.0098198 ],[3830.91602232  -96.63220578 6436.54078694],[-2439208.97963472 -6517069.67787119  1246699.16701479],[3828.67326248  -93.71967133 6435.33901312],[  38.50737927 -286.30753512 -224.71690127],[-2.42645542 -2.28572286  2.32591154],[-0.5578234  -0.43977596  0.0836293 ],[ 0.06831818  0.18916483 -0.06554005],0.08954064539883773,38.74824104115459
[-2400781.84660262 -6517552.62226089  1311339.58537925],[3858.25350445  -23.00631742 6422.05200893],[-2400792.20465733 -6517642.21719138  1310977.08014896],[3855.31079765  -20.43785557 6420.48786801],[  18.87841777 -315.57649219 -198.99664762],[-1.99345695 -2.90602493  2.57326455],[-0.01714795 -0.26699386 -0.13313298],[ 0.19340617  0.18659554 -0.06016474],0.10745857008414167,37.88665579972025
[-2362064.39470068 -6517414.42112456  1375484.60547315],[3885.16571733   50.65111668 6406.82987564],[-2362103.48423491 -6517471.11117971  1375122.91216193],[3882.29272085   53.94194493 6406.91312681],[  -5.05122869 -330.01047698 -163.19122401],[-2.40817665 -1.41801063  3.58160895],[0.56693388 0.3513156  0.1680572 ],[ 0.11041266  0.19716171 -0.04461445],0.10594566663217776,36.090545747292126
[-2323079.96099838 -6516539.52223577  1439473.74214118],[3911.64930944  124.33185883 6390.87551938],[-2323151.27727017 -6516565.15268447  1439121.97252586],[3908.42708095  127.43831009 6391.86983862],[ -24.57655669 -337.99306251 -121.00196422],[-1.96128246 -0.77754739  4.21977372],[0.23651372 0.58516327 0.47036121],[-0.15906254 -0.01273752 -0.04277836],0.12161747551672644,35.10072776926254
[-2283832.8482851  -6514927.7337662   1503299.67916076],[3937.70097153  198.02765613 6374.19015539],[-2283935.2292227  -6514918.31994844  1502959.34907394],[3934.59524865  201.53272932 6375.33591468],[ -47.99824437 -343.64207721  -77.46828802],[-2.34880738 -0.54004784  4.35397785],[ 0.26296362 -0.32402685  0.55630442],[-0.14421826 -0.24630463  0.12245771],0.13781593111648321,34.661404364157654
[-2244327.39222939 -6512578.94648878  1566955.11287677],[3963.31743709  271.73024137 6356.77508196],[-2244457.6269437  -6512524.41593547  1566640.32736622],[3960.53311681  276.24276852 6359.33111659],[ -78.71841075 -334.9016665   -25.86243016],[-3.06384351  0.90660565  5.16092476],[0.05428043 0.83081588 0.32117098],[-0.16463046 -0.02042645  0.11310822],0.16394885374876883,32.90258951046447
[-2204567.96094915 -6509493.13391662  1630432.75303243],[3988.49548285  345.43133389 6338.63168048],[-2204731.90156981 -6509374.48769345  1630141.25271534],[3985.12634387  351.84407537 6340.9614695 ],[-125.46046203 -329.91396763   36.63788574],[-4.6706533   0.54838075  6.25003863],[0.36012312 0.30069714 0.36501904],[-0.14223492 -0.22115623 -0.00138262],0.21209183370052465,30.902589510464473
[-2164558.95457699 -6505670.35243326  1693725.3236012 ],[4013.23192921  419.12264039 6319.76141561],[-2164749.99143127 -6505473.76348056  1693470.02590744],[4010.52419879  426.91852495 6323.38252993],[-183.7665656  -308.9291813   105.41261198],[-5.81095554  2.16034586  6.87710389],[ 0.00913775 -0.13314141  0.04236671],[-0.11982849 -0.02948984 -0.01765156],0.24578878500859347,28.902589510464473
[-2124304.80482093 -6501110.74141424  1756825.56361955],[4037.52364076  492.79585592 6300.16583533],[-2124520.64004659 -6500837.78972726  1756600.01976029],[4035.04612762  500.43422112 6303.141619  ],[-242.4770585  -291.04187586  168.6920363 ],[-5.85566795  1.85108785  6.32720135],[-0.03187144  0.0670381   0.13451726],[0.1153726  0.16788705 0.10405247],0.24924798313858704,28.199227279222157
[-2083809.97452028 -6495814.52333973  1819726.22802072],[4061.36752674  566.44266466 6279.84657102],[-2084045.46599099 -6495464.02699913  1819523.66862506],[4059.40463656  574.19974314 6282.1449733 ],[-305.17277114 -274.79725248  225.14501128],[-6.25695532  1.69110832  5.64422039],[-0.4217795  -0.80003036 -0.0929932 ],[0.33673861 0.12710485 0.05766385],0.24265955891582358,27.344112270701224
[-2043078.95719693 -6489782.00389842  1882420.08846922],[4084.76054148  640.05474087 6258.80533756],[-2043324.18639043 -6489340.3259876   1882241.02500555],[4083.7899109   649.17615403 6261.15438325],[-382.81558176 -250.46945293  279.28075799],[-7.74424999  2.51532748  5.41218287],[-0.18163492 -0.22494917  0.55258984],[ 0.09198546 -0.09945451  0.05876182],0.26007524183322717,25.66500933946636
[-2002116.27660179 -6483013.57208235  1944899.93419603],[4107.6996849   713.62374977 6237.04393338],[-2002369.26231753 -6482482.05672151  1944740.93097826],[4106.92756498  722.61144663 6239.04887436],[-460.24229    -226.42773048  329.69666636],[-7.72425334  2.4865498   5.0398992 ],[ 0.3901415  -0.50859459  0.48262048],[-0.14373683 -0.18898456 -0.09868475],0.2683539811364374,25.248194558484997
[-1960926.48625667 -6475509.70027286  2007158.57283445],[4130.18200299  787.14134844 6214.56424052],[-1961188.92117514 -6474904.59579269  2007031.01386747],[4129.24093227  794.5047695  6217.70704722],[-518.57667157 -193.72266772  380.58451378],[-5.80697513  3.3326125   5.0867978 ],[-0.57046846  0.38129068  0.61495341],[-0.04812114 -0.18077685 -0.04618838],0.2269910492452924,23.248194558484997
[-1919514.16899148 -6467270.94431741  2069188.8312565 ],[4152.20458823  860.59918671 6191.36822469],[-1919795.59971353 -6466602.89604927  2069078.82331488],[4150.30914345  866.89850736 6193.12124671],[-567.9823692  -177.65881739  428.28362097],[-4.93271561  1.6591099   4.76763575],[-0.25490949  0.11251936  0.45982401],[-0.04556034  0.01559018 -0.03937578],0.19241066893828454,21.248194558484997
[-1877883.93647667 -6458297.94359729  2130983.55640982],[4173.7645801   933.98890814 6167.45793531],[-1878191.19804738 -6457584.85582421  2130894.33642576],[4171.18587755  938.49806996 6169.53426825],[-597.91398997 -163.6720294   475.9982961 ],[-2.98820698  1.43074344  4.76891599],[-0.30298462 -0.26874992  0.83626619],[-0.05530085 -0.17620547  0.12362584],0.15454860831144854,19.291589652862967
[-1836040.42875117 -6448591.42108612  2192535.61615484],[4194.8591655  1007.30215087 6142.83550553],[-1836364.05429934 -6447831.42300563  2192458.34947879],[4193.22735729 1011.99865528 6144.02801817],[-634.52966981 -150.85188633  512.75386251],[-3.6584122   1.32123357  3.67277032],[-0.24974127 -0.10314797 -0.27005307],[-0.02937649 -0.16598295  0.13107237],0.14543207131189584,17.994671394259168
[-1793988.31374563 -6438152.18339915  2253837.90010237],[4215.48557926 1080.53054859 6117.50315227],[-1794343.87461597 -6437356.62479069  2253777.35302274],[4212.29684082 1084.09224235 6119.17197303],[-655.093046   -143.54517877  559.68818427],[-2.05955007  0.75286461  4.69039324],[-0.20953909  0.02814123  0.22851003],[0.1662932  0.01758789 0.12763844],0.13218398755774102,15.994671394259168
[-1751732.28680102 -6426981.12083316  2314883.3204513 ],[4235.64110456 1153.66573146 6091.46317623],[-1752124.09172621 -6426146.81279872  2314836.95434542],[4232.02172195 1157.54643304 6092.87782703],[-678.2402372  -139.85389018  610.05072047],[-2.32215161  0.39412293  5.03293162],[0.39749982 0.41795587 0.03773668],[ 0.32150873 -0.04831745 -0.03208309],0.16054054926891034,15.403139688551876
[-1709277.07018273 -6415079.20739697  2375664.81282642],[4255.32307342 1226.69932705 6064.71796189],[-1709709.95733761 -6414191.49045618  2375638.15847499],[4251.22015646 1232.04615092 6066.68531607],[-711.68184191 -131.70697165  672.53649701],[-3.34732388  0.85067152  6.24492112],[ 0.58519552  0.01996898 -0.64028735],[ 0.07309391 -0.05462995  0.11970702],0.19915351525688824,13.76821819935107
[-1666627.41259    -6402447.50083254  2436175.33711622],[4274.52886712 1299.62296134 6037.26997752],[-1667093.70016708 -6401513.08937149  2436162.05781772],[4271.19439588 1304.29854618 6038.60328024],[-742.93162482 -124.71681909  723.3419238 ],[-3.12992865  0.73271593  5.07657051],[ 0.24681777 -0.11048584 -0.17972445],[-0.1567773   0.15127607  0.12396984],0.17028510309083275,12.57142786969034
[-1623788.08866087 -6389087.14262646  2496407.87831067],[4293.2559167  1372.42825959 6009.12177513],[-1624274.2280719  -6388101.34485518  2496401.41161294],[4291.27651912 1377.57330328 6009.7984446 ],[-783.80777242 -113.85796072  762.1366883 ],[-4.08905133  1.12987574  3.87525642],[-0.18955124  0.36670521  0.10479732],[-0.1063242   0.13780761 -0.03132476],0.15826669509163238,11.011570895446182
[-1580763.89847251 -6374999.3580118   2556355.44733866],[4311.50170337 1445.10684738 5980.27599049],[-1581261.60428015 -6373972.27195526  2556340.57782281],[4310.35100674 1449.24242432 5979.43077773],[-822.77591487 -111.4161106   783.23954523],[-3.90790574  0.2862204   2.10590561],[-0.18935886  0.47278057  0.04038972],[ 0.13406258 -0.06449154 -0.03107254],0.10539247835120472,9.011570895446182
[-1537559.66703709 -6360185.45596041  2616011.08190526],[4329.263759   1517.65035156 5950.73534306],[-1538085.57407423 -6359115.15368097  2615989.06097252],[4326.44976708 1521.97903251 5950.01495672],[-859.42301033 -116.32553921  818.8226675 ],[-3.68429127 -0.45131527  3.55375437],[ 0.07102746  0.11689865 -0.50294208],[ 0.13376775  0.01849056 -0.200644  ],0.13626056332179826,7.321125219630604
[-1494180.24379316 -6344646.82916526  2675367.84732847],[4346.53966651 1590.05040121 5920.50263596],[-1494736.97042088 -6343528.17389152  2675319.70333871],[4343.46408512 1594.89314847 5917.8847866 ],[-907.53847098 -135.99642955  849.42974876],[-4.84759209 -1.91512907  3.05596725],[-0.27618036 -0.20347405  0.35576039],[-0.10552948  0.20742805 -0.20867773],0.16474606406452535,5.350512576206448
[-1450630.50209249 -6328384.95401313  2734418.83737545],[4363.3270604  1662.29862866 5889.58075589],[-1451216.43741352 -6327221.20595742  2734348.30769739],[4360.4128102  1666.81576519 5887.33634398],[-952.11865895 -151.44858817  879.28241055],[-4.49037651 -1.49699327  2.98036197],[-0.41654964 -0.34354314 -0.5440067 ],[-0.10652515  0.01675325 -0.14822475],0.16500472258026883,4.815152139432578
